recid;black;alcohol;drugs;married;felon;educ;rules;age
0;0;1;0;1;0;7;2;441
0;1;0;0;0;1;12;0;307
1;0;0;1;0;1;9;3;253
0;0;0;1;0;0;9;0;244
0;1;0;0;0;0;12;0;277
0;1;1;0;0;0;12;2;327
1;0;0;0;1;0;10;0;388
1;1;0;0;1;1;11;2;430
0;1;0;0;1;1;11;0;511
0;1;1;0;1;1;10;5;316
0;1;1;0;0;0;11;0;328
1;0;1;0;1;0;10;1;278
0;1;0;0;1;0;8;0;284
1;1;0;0;0;0;11;0;211
1;1;0;0;0;1;8;18;269
0;0;0;0;0;0;10;0;292
0;1;1;0;1;0;9;0;414
1;1;0;0;0;0;9;0;288
0;1;0;0;0;0;12;0;330
0;0;0;0;0;0;9;1;268
1;0;0;0;0;0;3;0;699
0;0;1;0;1;0;12;0;455
1;0;0;0;0;0;11;0;342
0;1;0;0;0;0;6;0;582
1;1;0;0;1;1;11;3;377
0;0;0;0;1;0;11;0;298
0;0;0;0;0;1;12;3;601
0;0;0;0;0;0;9;7;295
1;0;1;0;0;0;9;0;233
1;1;0;0;0;0;8;4;242
0;0;0;0;0;1;9;8;276
0;0;0;0;0;0;9;2;438
1;0;0;0;0;1;10;8;265
0;0;1;0;0;0;5;0;373
0;0;1;0;0;0;11;0;516
0;0;0;0;0;0;10;2;274
0;0;0;1;0;1;10;6;292
0;0;1;0;1;0;11;0;283
0;1;0;1;1;0;9;0;454
0;1;0;1;0;0;11;2;248
1;1;0;0;0;0;9;0;205
1;0;0;1;0;0;8;0;296
0;1;0;1;0;0;11;0;427
0;0;0;0;0;0;10;0;211
0;1;0;0;0;0;7;0;356
0;0;0;1;1;1;9;0;330
1;0;0;1;1;0;8;0;292
0;1;0;1;0;0;5;0;373
0;0;0;1;0;0;9;1;225
1;1;0;1;0;0;12;2;262
1;0;1;0;1;0;13;0;238
0;0;0;0;0;1;9;0;400
1;1;1;0;1;0;12;2;285
0;0;0;0;0;1;10;4;302
1;0;0;0;0;1;11;2;471
1;1;0;1;0;1;10;3;255
1;1;0;0;0;1;12;0;293
0;0;0;1;0;0;9;0;215
1;1;0;0;0;0;12;0;280
1;1;1;0;0;0;12;0;307
0;1;0;0;0;0;9;0;249
1;1;1;1;0;0;10;2;218
1;0;0;0;1;0;10;1;276
0;1;0;0;0;0;12;4;394
0;0;0;1;0;0;11;0;362
1;0;0;1;1;1;6;0;416
0;0;0;0;0;0;10;0;314
0;1;0;0;1;0;16;1;397
1;1;0;1;1;0;7;0;512
0;0;0;0;0;0;11;2;233
0;1;0;0;1;1;6;0;730
0;1;1;0;1;0;12;0;368
0;0;1;0;1;0;4;0;457
1;1;0;0;0;1;12;0;243
0;0;0;0;0;1;7;1;569
1;0;0;0;0;0;8;0;213
0;1;0;0;1;1;12;0;332
1;1;0;0;0;1;11;2;322
0;0;0;1;1;0;11;0;270
1;0;0;0;0;1;8;3;292
0;0;0;0;1;0;12;0;304
1;0;0;0;0;0;10;0;204
0;0;0;0;1;1;11;0;501
1;1;0;0;0;0;10;0;259
1;0;0;0;1;0;6;0;611
0;0;0;0;0;0;5;0;398
0;1;0;0;1;0;12;0;458
0;0;1;0;1;0;5;0;889
1;0;0;0;0;1;10;3;307
0;1;0;0;0;1;12;1;412
1;1;0;0;0;0;10;0;225
0;0;0;1;0;0;12;1;241
1;0;0;0;0;0;7;2;262
0;0;0;0;1;1;7;0;377
0;0;1;0;0;0;4;0;606
1;1;1;0;0;0;6;0;631
0;0;0;0;1;1;12;1;306
